Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.545618364,0.545618364,0.545618364,0.545618364,0.545618364,0,0,0,0,11.32058993,181.3528829,181.3528829,1301798
0.02,0,0.5603760417,0.5603760417,0.5603760417,0.5603760417,0.5603760417,0,0,0,0,11.32058993,181.3528829,181.3528829,2603597
0.03,0,0.5569562335,0.5569562335,0.5569562335,0.5569562335,0.5569562335,0,0,0,0,11.32058993,181.3528829,181.3528829,3905395
0.04,0,0.5515710024,0.5515710024,0.5515710024,0.5515710024,0.5515710024,0,0,0,0,11.32058993,181.3528829,181.3528829,5207194
0.05,0,0.5463020193,0.5463020193,0.5463020193,0.5463020193,0.5463020193,0,0,0,0,11.32058993,181.3528829,181.3528829,6508992
0.06,0,0.5415070208,0.5415070208,0.5415070208,0.5415070208,0.5415070208,0,0,0,0,11.32058993,181.3528829,181.3528829,7810790
0.07,0,0.5372069606,0.5372069606,0.5372069606,0.5372069606,0.5372069606,0,0,0,0,11.32058993,181.3528829,181.3528829,9112589
0.08,0,0.5333499951,0.5333499951,0.5333499951,0.5333499951,0.5333499951,0,0,0,0,11.32058993,181.3528829,181.3528829,10414390
0.09,0,0.5298742884,0.5298742884,0.5298742884,0.5298742884,0.5298742884,0,0,0,0,11.32058993,181.3528829,181.3528829,11716190
0.1,0,0.5267236708,0.5267236708,0.5267236708,0.5267236708,0.5267236708,0,0,0,0,11.32058993,181.3528829,181.3528829,13017980
0.11,0,0.5238505811,0.5238505811,0.5238505811,0.5238505811,0.5238505811,0,0,0,0,11.32058993,181.3528829,181.3528829,14319780
0.12,0,0.5212157506,0.5212157506,0.5212157506,0.5212157506,0.5212157506,0,0,0,0,11.32058993,181.3528829,181.3528829,15621580
0.13,0,0.5187868309,0.5187868309,0.5187868309,0.5187868309,0.5187868309,0,0,0,0,11.32058993,181.3528829,181.3528829,16923380
0.14,0,0.5165371231,0.5165371231,0.5165371231,0.5165371231,0.5165371231,0,0,0,0,11.32058993,181.3528829,181.3528829,18225180
0.15,0,0.5144444662,0.5144444662,0.5144444662,0.5144444662,0.5144444662,0,0,0,0,11.32058993,181.3528829,181.3528829,19526980
0.16,0,0.5124903535,0.5124903535,0.5124903535,0.5124903535,0.5124903535,0,0,0,0,11.32058993,181.3528829,181.3528829,20828770
0.17,0,0.5106591632,0.5106591632,0.5106591632,0.5106591632,0.5106591632,0,0,0,0,11.32058993,181.3528829,181.3528829,22130570
0.18,0,0.5089376904,0.5089376904,0.5089376904,0.5089376904,0.5089376904,0,0,0,0,11.32058993,181.3528829,181.3528829,23432370
0.19,0,0.5073146474,0.5073146474,0.5073146474,0.5073146474,0.5073146474,0,0,0,0,11.32058993,181.3528829,181.3528829,24734170
0.2,0,0.5057803332,0.5057803332,0.5057803332,0.5057803332,0.5057803332,0,0,0,0,11.32058993,181.3528829,181.3528829,26035970
0.21,0,0.5043263585,0.5043263585,0.5043263585,0.5043263585,0.5043263585,0,0,0,0,11.32058993,181.3528829,181.3528829,27337770
0.22,0,0.5029454264,0.5029454264,0.5029454264,0.5029454264,0.5029454264,0,0,0,0,11.32058993,181.3528829,181.3528829,28639570
0.23,0,0.5016311649,0.5016311649,0.5016311649,0.5016311649,0.5016311649,0,0,0,0,11.32058993,181.3528829,181.3528829,29941360
0.24,0,0.5003779445,0.5003779445,0.5003779445,0.5003779445,0.5003779445,0,0,0,0,11.32058993,181.3528829,181.3528829,31243160
0.25,0,0.4991808216,0.4991808216,0.4991808216,0.4991808216,0.4991808216,0,0,0,0,11.32058993,181.3528829,181.3528829,32544960
0.26,0,0.4983455167,0.4983455167,0.4983455167,0.4983455167,0.4983455167,0,0,0,0,11.32058993,181.3528829,181.3528829,33846760
0.27,0,0.4975580169,0.4975580169,0.4975580169,0.4975580169,0.4975580169,0,0,0,0,11.32058993,181.3528829,181.3528829,35148560
