Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.6480891681,0.6480891681,0.6480891681,0.6480891681,0.6480891681,0,0,0,0,10.09973575,253.9111414,253.9111414,1869856
0.02,0,0.6133047745,0.6133047745,0.6133047745,0.6133047745,0.6133047745,0,0,0,0,10.09973575,253.9111414,253.9111414,3739712
0.03,0,0.5855339419,0.5855339419,0.5855339419,0.5855339419,0.5855339419,0,0,0,0,10.09973575,253.9111414,253.9111414,5609568
0.04,0,0.5647221197,0.5647221197,0.5647221197,0.5647221197,0.5647221197,0,0,0,0,10.09973575,253.9111414,253.9111414,7479424
0.05,0,0.5484487703,0.5484487703,0.5484487703,0.5484487703,0.5484487703,0,0,0,0,10.09973575,253.9111414,253.9111414,9349280
0.06,0,0.5352393501,0.5352393501,0.5352393501,0.5352393501,0.5352393501,0,0,0,0,10.09973575,253.9111414,253.9111414,11219140
0.07,0,0.5287349482,0.5287349482,0.5287349482,0.5287349482,0.5287349482,0,0,0,0,10.09973575,253.9111414,253.9111414,13088990
0.08,0,0.528596342,0.528596342,0.528596342,0.528596342,0.528596342,0,0,0,0,10.09973575,253.9111414,253.9111414,14958850
0.09,0,0.5275308242,0.5275308242,0.5275308242,0.5275308242,0.5275308242,0,0,0,0,10.09973575,253.9111414,253.9111414,16828700
0.1,0,0.5259325267,0.5259325267,0.5259325267,0.5259325267,0.5259325267,0,0,0,0,10.09973575,253.9111414,253.9111414,18698560
0.11,0,0.5240289092,0.5240289092,0.5240289092,0.5240289092,0.5240289092,0,0,0,0,10.09973575,253.9111414,253.9111414,20568410
0.12,0,0.5219563985,0.5219563985,0.5219563985,0.5219563985,0.5219563985,0,0,0,0,10.09973575,253.9111414,253.9111414,22438270
0.13,0,0.5197992379,0.5197992379,0.5197992379,0.5197992379,0.5197992379,0,0,0,0,10.09973575,253.9111414,253.9111414,24308130
0.14,0,0.5176104611,0.5176104611,0.5176104611,0.5176104611,0.5176104611,0,0,0,0,10.09973575,253.9111414,253.9111414,26177980
0.15,0,0.5154237538,0.5154237538,0.5154237538,0.5154237538,0.5154237538,0,0,0,0,10.09973575,253.9111414,253.9111414,28047840
0.16,0,0.5132606603,0.5132606603,0.5132606603,0.5132606603,0.5132606603,0,0,0,0,10.09973575,253.9111414,253.9111414,29917690
0.17,0,0.5111347649,0.5111347649,0.5111347649,0.5111347649,0.5111347649,0,0,0,0,10.09973575,253.9111414,253.9111414,31787550
0.18,0,0.5090544548,0.5090544548,0.5090544548,0.5090544548,0.5090544548,0,0,0,0,10.09973575,253.9111414,253.9111414,33657410
0.19,0,0.5070246503,0.5070246503,0.5070246503,0.5070246503,0.5070246503,0,0,0,0,10.09973575,253.9111414,253.9111414,35527260
0.2,0,0.505047981,0.505047981,0.505047981,0.505047981,0.505047981,0,0,0,0,10.09973575,253.9111414,253.9111414,37397120
0.21,0,0.5031254463,0.5031254463,0.5031254463,0.5031254463,0.5031254463,0,0,0,0,10.09973575,253.9111414,253.9111414,39266970
0.22,0,0.501257046,0.501257046,0.501257046,0.501257046,0.501257046,0,0,0,0,10.09973575,253.9111414,253.9111414,41136830
0.23,0,0.4994420445,0.4994420445,0.4994420445,0.4994420445,0.4994420445,0,0,0,0,10.09973575,253.9111414,253.9111414,43006690
0.24,0,0.4976792621,0.4976792621,0.4976792621,0.4976792621,0.4976792621,0,0,0,0,10.09973575,253.9111414,253.9111414,44876540
0.25,0,0.4959672004,0.4959672004,0.4959672004,0.4959672004,0.4959672004,0,0,0,0,10.09973575,253.9111414,253.9111414,46746400
0.26,0,0.494477525,0.494477525,0.494477525,0.494477525,0.494477525,0,0,0,0,10.09973575,253.9111414,253.9111414,48616250
0.27,0,0.4930356357,0.4930356357,0.4930356357,0.4930356357,0.4930356357,0,0,0,0,10.09973575,253.9111414,253.9111414,50486110
0.28,0,0.4916395726,0.4916395726,0.4916395726,0.4916395726,0.4916395726,0,0,0,0,10.09973575,253.9111414,253.9111414,52355960
0.29,0,0.4902873829,0.4902873829,0.4902873829,0.4902873829,0.4902873829,0,0,0,0,10.09973575,253.9111414,253.9111414,54225820
0.3,0,0.4889771904,0.4889771904,0.4889771904,0.4889771904,0.4889771904,0,0,0,0,10.09973575,253.9111414,253.9111414,56095680
0.31,0,0.4877071703,0.4877071703,0.4877071703,0.4877071703,0.4877071703,0,0,0,0,10.09973575,253.9111414,253.9111414,57965530
0.32,0,0.4864755567,0.4864755567,0.4864755567,0.4864755567,0.4864755567,0,0,0,0,10.09973575,253.9111414,253.9111414,59835390
0.33,0,0.4852806944,0.4852806944,0.4852806944,0.4852806944,0.4852806944,0,0,0,0,10.09973575,253.9111414,253.9111414,61705250
0.34,0,0.4841209719,0.4841209719,0.4841209719,0.4841209719,0.4841209719,0,0,0,0,10.09973575,253.9111414,253.9111414,63575100
0.35,0,0.4829948716,0.4829948716,0.4829948716,0.4829948716,0.4829948716,0,0,0,0,10.09973575,253.9111414,253.9111414,65444960
0.36,0,0.481900946,0.481900946,0.481900946,0.481900946,0.481900946,0,0,0,0,10.09973575,253.9111414,253.9111414,67314820
0.37,0,0.4808378392,0.4808378392,0.4808378392,0.4808378392,0.4808378392,0,0,0,0,10.09973575,253.9111414,253.9111414,69184670
0.38,0,0.4798042348,0.4798042348,0.4798042348,0.4798042348,0.4798042348,0,0,0,0,10.09973575,253.9111414,253.9111414,71054520
0.39,0,0.4787989013,0.4787989013,0.4787989013,0.4787989013,0.4787989013,0,0,0,0,10.09973575,253.9111414,253.9111414,72924380
0.4,0,0.477820687,0.477820687,0.477820687,0.477820687,0.477820687,0,0,0,0,10.09973575,253.9111414,253.9111414,74794240
0.41,0,0.4768684733,0.4768684733,0.4768684733,0.4768684733,0.4768684733,0,0,0,0,10.09973575,253.9111414,253.9111414,76664090
0.42,0,0.4759412211,0.4759412211,0.4759412211,0.4759412211,0.4759412211,0,0,0,0,10.09973575,253.9111414,253.9111414,78533940
0.43,0,0.4750379305,0.4750379305,0.4750379305,0.4750379305,0.4750379305,0,0,0,0,10.09973575,253.9111414,253.9111414,80403810
0.44,0,0.4741576845,0.4741576845,0.4741576845,0.4741576845,0.4741576845,0,0,0,0,10.09973575,253.9111414,253.9111414,82273660
0.45,0,0.473299575,0.473299575,0.473299575,0.473299575,0.473299575,0,0,0,0,10.09973575,253.9111414,253.9111414,84143510
0.46,0,0.4724627456,0.4724627456,0.4724627456,0.4724627456,0.4724627456,0,0,0,0,10.09973575,253.9111414,253.9111414,86013380
