Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.5846744585617480608360528232,0.584674458561748,0.584674458561748,0.584674458561748,0.584674458561748,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,1525021
0.02,0,0.5940246792888593526458221846,0.594024679288859,0.594024679288859,0.594024679288859,0.594024679288859,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,3050041
0.03,0,0.5871599629778955292942243651,0.587159962977896,0.587159962977896,0.587159962977896,0.587159962977896,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,4575062
0.04,0,0.5793338206040365232731736407,0.579333820604036,0.579333820604036,0.579333820604036,0.579333820604036,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,6100082
0.05,0,0.5721984261810241218000007648,0.572198426181024,0.572198426181024,0.572198426181024,0.572198426181024,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,7625104
0.06,0,0.5659038682085455434677234888,0.565903868208546,0.565903868208546,0.565903868208546,0.565903868208546,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,9150124
0.07,0,0.5603569660150503431231706182,0.56035696601505,0.56035696601505,0.56035696601505,0.56035696601505,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,10675140
0.08,0,0.5554369444107320288983846750,0.555436944410732,0.555436944410732,0.555436944410732,0.555436944410732,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,12200160
0.09,0,0.5510373740084524114361391978,0.551037374008452,0.551037374008452,0.551037374008452,0.551037374008452,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,13725190
0.10,0,0.5472662217781664691348368517,0.547266221778166,0.547266221778166,0.547266221778166,0.547266221778166,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,15250210
0.11,0,0.5471898309043507662474638352,0.547189830904351,0.547189830904351,0.547189830904351,0.547189830904351,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,16775230
0.12,0,0.5471135886904941833464057564,0.547113588690494,0.547113588690494,0.547113588690494,0.547113588690494,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,18300250
0.13,0,0.5470374946316875832775451230,0.547037494631688,0.547037494631688,0.547037494631688,0.547037494631688,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,19825270
0.14,0,0.5469615482253194765860521815,0.54696154822532,0.54696154822532,0.54696154822532,0.54696154822532,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,21350290
0.15,0,0.5468857489710621476040637543,0.546885748971062,0.546885748971062,0.546885748971062,0.546885748971062,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,22875310
0.16,0,0.5468100963708644414075989692,0.546810096370864,0.546810096370864,0.546810096370864,0.546810096370864,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,24400330
0.17,0,0.5467345899289367855565433400,0.546734589928937,0.546734589928937,0.546734589928937,0.546734589928937,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,25925350
0.18,0,0.5466592291517396205300223607,0.54665922915174,0.54665922915174,0.54665922915174,0.54665922915174,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,27450370
0.19,0,0.5465840135479755345094698563,0.546584013547976,0.546584013547976,0.546584013547976,0.546584013547976,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,28975390
0.20,0,0.5465089426285754894663068202,0.546508942628576,0.546508942628576,0.546508942628576,0.546508942628576,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,30500410
0.21,0,0.5464340159066851950757728733,0.546434015906685,0.546434015906685,0.546434015906685,0.546434015906685,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,32025430
0.22,0,0.5463592328976571956738419932,0.546359232897657,0.546359232897657,0.546359232897657,0.546359232897657,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,33550460
0.23,0,0.5462845931190402006925961085,0.54628459311904,0.54628459311904,0.54628459311904,0.54628459311904,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,35075480
0.24,0,0.5462100960905638064002091793,0.546210096090564,0.546210096090564,0.546210096090564,0.546210096090564,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,36600500
0.25,0,0.5461357413341311828578629264,0.546135741334131,0.546135741334131,0.546135741334131,0.546135741334131,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,38125520
0.26,0,0.5463550341715970271676005101,0.546355034171597,0.546355034171597,0.546355034171597,0.546355034171597,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,39650540
0.27,0,0.5465744951649706799760526853,0.546574495164971,0.546574495164971,0.546574495164971,0.546574495164971,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,41175560
0.28,0,0.5467940701754287193686749598,0.546794070175429,0.546794070175429,0.546794070175429,0.546794070175429,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,42700580
0.29,0,0.5470138124006287369870859382,0.547013812400629,0.547013812400629,0.547013812400629,0.547013812400629,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,44225600
0.30,0,0.5472336677059878150303399703,0.547233667705988,0.547233667705988,0.547233667705988,0.547233667705988,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,45750620
0.31,0,0.5474536624598001034447614985,0.5474536624598,0.5474536624598,0.5474536624598,0.5474536624598,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,47275640
0.32,0,0.5476738230324515781480609936,0.547673823032452,0.547673823032452,0.547673823032452,0.547673823032452,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,48800660
0.33,0,0.5478940952956458688180772951,0.547894095295646,0.547894095295646,0.547894095295646,0.547894095295646,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,50325680
0.34,0,0.5481145324575188317349172023,0.548114532457519,0.548114532457519,0.548114532457519,0.548114532457519,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,51850700
0.35,0,0.5483350803939098615652964738,0.54833508039391,0.54833508039391,0.54833508039391,0.54833508039391,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,53375720
0.36,0,0.5485557923170693404489460165,0.548555792317069,0.548555792317069,0.548555792317069,0.548555792317069,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,54900750
0.37,0,0.5487766141069304019568002627,0.54877661410693,0.54877661410693,0.54877661410693,0.54877661410693,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,56425770
0.38,0,0.5489975721462276604546788975,0.548997572146228,0.548997572146228,0.548997572146228,0.548997572146228,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,57950780
0.39,0,0.5492186928197134215012501713,0.549218692819713,0.549218692819713,0.549218692819713,0.549218692819713,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,59475800
0.40,0,0.5494399220133830096367732410,0.549439922013383,0.549439922013383,0.549439922013383,0.549439922013383,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,61000830
0.41,0,0.5496613129495913933990851396,0.549661312949591,0.549661312949591,0.549661312949591,0.549661312949591,0,0,0,0,5.97660616225718,177.05907283955783174826937734,177.05907283955783174826937734,62525850
