# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
0.0000,173163.37,98750.00,699.5911,0.5339,NaN,461.156,8000.0
0.2433,172165.90,97752.53,692.4038,0.5296,NaN,462.985,8000.0
0.4866,171168.42,96755.05,685.3783,0.5253,NaN,464.797,8000.0
0.7299,170170.95,95757.58,678.5120,0.5210,NaN,466.591,8000.0
0.9731,169173.48,94760.10,671.8022,0.5166,NaN,468.367,8000.0
1.2164,168176.00,93762.63,665.2461,0.5123,NaN,470.126,8000.0
1.4597,167178.53,92765.15,658.8410,0.5080,NaN,471.866,8000.0
1.7030,166181.05,91767.68,652.5843,0.5037,NaN,473.588,8000.0
1.9463,165183.58,90770.20,646.4731,0.4993,NaN,475.291,8000.0
2.1896,164186.10,89772.73,640.5048,0.4950,NaN,476.974,8000.0
2.4329,163188.63,88775.25,634.6764,0.4907,NaN,478.638,8000.0
2.6762,162191.15,87777.78,628.9852,0.4864,NaN,480.282,8000.0
2.9194,161193.68,86780.30,623.4284,0.4820,NaN,481.905,8000.0
3.1627,160196.20,85782.83,618.0032,0.4777,NaN,483.508,8000.0
3.4060,159198.73,84785.35,612.7066,0.4734,NaN,485.089,8000.0
3.6493,158201.25,83787.88,607.5359,0.4691,NaN,486.649,8000.0
3.8926,157203.78,82790.40,602.4881,0.4647,NaN,488.187,8000.0
4.1359,156206.30,81792.93,597.5603,0.4604,NaN,489.703,8000.0
4.3792,155208.83,80795.45,592.7497,0.4561,NaN,491.195,8000.0
4.6224,154211.35,79797.98,588.0533,0.4518,NaN,492.665,8000.0
4.8657,153213.88,78800.51,583.4681,0.4474,NaN,494.110,8000.0
5.1090,152216.40,77803.03,578.9911,0.4431,NaN,495.532,8000.0
5.3523,151218.93,76805.56,574.6195,0.4388,NaN,496.929,8000.0
5.5956,150221.46,75808.08,570.3503,0.4345,NaN,498.301,8000.0
5.8389,149223.98,74810.61,566.1803,0.4301,NaN,499.647,8000.0
6.0822,148226.51,73813.13,562.1067,0.4258,NaN,500.967,8000.0
6.3254,147229.03,72815.66,558.1266,0.4215,NaN,502.260,8000.0
6.5687,146231.56,71818.18,554.2414,0.4172,NaN,503.539,8000.0
6.8120,145234.08,70820.71,550.4510,0.4128,NaN,504.806,8000.0
7.0553,144236.61,69823.23,546.7539,0.4085,NaN,506.062,8000.0
7.2986,143239.13,68825.76,543.1486,0.4042,NaN,507.307,8000.0
7.5419,142241.66,67828.28,539.6335,0.3999,NaN,508.539,8000.0
7.7852,141244.18,66830.81,536.2073,0.3955,NaN,509.760,8000.0
8.0285,140246.71,65833.33,532.8682,0.3912,NaN,510.968,8000.0
8.2717,139249.23,64835.86,529.6148,0.3869,NaN,512.164,8000.0
8.5150,138251.76,63838.38,526.4454,0.3826,NaN,513.347,8000.0
8.7583,137254.28,62840.91,523.3586,0.3782,NaN,514.517,8000.0
9.0016,136256.81,61843.43,520.3526,0.3739,NaN,515.674,8000.0
9.2449,135259.33,60845.96,517.4259,0.3696,NaN,516.817,8000.0
9.4882,134261.86,59848.48,514.5769,0.3653,NaN,517.946,8000.0
9.7315,133264.38,58851.01,511.8039,0.3609,NaN,519.061,8000.0
9.9747,132266.91,57853.54,509.1052,0.3566,NaN,520.161,8000.0
10.2180,131269.43,56856.06,506.4792,0.3523,NaN,521.246,8000.0
10.4613,130271.96,55858.59,503.9241,0.3480,NaN,522.315,8000.0
10.7046,129274.49,54861.11,501.4383,0.3436,NaN,523.369,8000.0
10.9479,128277.01,53863.64,499.0200,0.3393,NaN,524.408,8000.0
11.1912,127279.54,52866.16,496.6675,0.3350,NaN,525.429,8000.0
11.4345,126282.06,51868.69,494.3789,0.3307,NaN,526.434,8000.0
11.6778,125284.59,50871.21,492.1526,0.3263,NaN,527.422,8000.0
11.9210,124287.11,49873.74,489.9866,0.3220,NaN,528.392,8000.0
12.1643,123289.64,48876.26,487.8792,0.3177,NaN,529.344,8000.0
12.4076,122292.16,47878.79,485.8284,0.3134,NaN,530.278,8000.0
12.6509,121294.69,46881.31,483.8324,0.3090,NaN,531.193,8000.0
12.8942,120297.21,45883.84,481.8893,0.3047,NaN,532.088,8000.0
13.1375,119299.74,44886.36,479.9971,0.3004,NaN,532.963,8000.0
13.3808,118302.26,43888.89,478.1538,0.2961,NaN,533.818,8000.0
13.6240,117304.79,42891.41,476.3574,0.2917,NaN,534.653,8000.0
13.8673,116307.31,41893.94,474.6060,0.2874,NaN,535.465,8000.0
14.1106,115309.84,40896.46,472.8974,0.2831,NaN,536.256,8000.0
14.3539,114312.36,39898.99,471.2295,0.2787,NaN,537.024,8000.0
14.5972,113314.89,38901.52,469.6002,0.2744,NaN,537.769,8000.0
14.8405,112317.41,37904.04,468.0074,0.2701,NaN,538.490,8000.0
15.0838,111319.94,36906.57,466.4487,0.2658,NaN,539.187,8000.0
15.3271,110322.47,35909.09,464.9221,0.2614,NaN,539.859,8000.0
15.5703,109324.99,34911.62,463.4251,0.2571,NaN,540.505,8000.0
15.8136,108327.52,33914.14,461.9554,0.2528,NaN,541.124,8000.0
16.0569,107330.04,32916.67,460.5107,0.2485,NaN,541.716,8000.0
16.3002,106332.57,31919.19,459.0885,0.2441,NaN,542.281,8000.0
16.5435,105335.09,30921.72,457.6864,0.2398,NaN,542.816,8000.0
16.7868,104337.62,29924.24,456.3018,0.2355,NaN,543.322,8000.0
17.0301,103340.14,28926.77,454.9320,0.2312,NaN,543.797,8000.0
17.2733,102342.67,27929.29,453.5746,0.2268,NaN,544.241,8000.0
17.5166,101345.19,26931.82,452.2267,0.2225,NaN,544.653,8000.0
17.7599,100347.72,25934.34,450.8856,0.2182,NaN,545.032,8000.0
18.0032,99350.24,24936.87,449.5484,0.2139,NaN,545.376,8000.0
18.2465,98352.77,23939.39,448.2122,0.2095,NaN,545.685,8000.0
18.4898,97355.29,22941.92,446.8742,0.2052,NaN,545.957,8000.0
18.7331,96357.82,21944.44,445.5310,0.2009,NaN,546.192,8000.0
18.9763,95360.34,20946.97,444.1798,0.1966,NaN,546.389,8000.0
19.2196,94362.87,19949.49,442.8171,0.1922,NaN,546.545,8000.0
19.4629,93365.39,18952.02,441.4397,0.1879,NaN,546.660,8000.0
19.7062,92367.92,17954.55,440.0442,0.1836,NaN,546.733,8000.0
19.9495,91370.45,16957.07,438.6270,0.1793,NaN,546.762,8000.0
20.1928,90372.97,15959.60,437.1846,0.1749,NaN,546.746,8000.0
20.4361,89375.50,14962.12,435.7131,0.1706,NaN,546.682,8000.0
20.6794,88378.02,13964.65,434.2087,0.1663,NaN,546.570,8000.0
20.9226,87380.55,12967.17,432.6674,0.1620,NaN,546.408,8000.0
21.1659,86383.07,11969.70,431.0852,0.1576,NaN,546.194,8000.0
21.4092,85385.60,10972.22,429.4577,0.1533,NaN,545.927,8000.0
21.6525,84388.12,9974.75,427.7806,0.1490,NaN,545.604,8000.0
21.8958,83390.65,8977.27,426.0492,0.1447,NaN,545.223,8000.0
22.1391,82393.17,7979.80,424.2588,0.1403,NaN,544.782,8000.0
22.3824,81395.70,6982.32,422.4046,0.1360,NaN,544.280,8000.0
22.6256,80398.22,5984.85,420.4814,0.1317,NaN,543.714,8000.0
22.8689,79400.75,4987.37,418.4839,0.1274,NaN,543.080,8000.0
23.1122,78403.27,3989.90,416.4066,0.1230,NaN,542.378,8000.0
23.3555,77405.80,2992.42,414.2438,0.1187,NaN,541.604,8000.0
23.5988,76408.32,1994.95,411.9894,0.1144,NaN,540.755,8000.0
23.8421,75410.85,997.47,409.6372,0.1101,NaN,539.829,8000.0
24.0854,74413.37,0.00,407.1807,0.1057,NaN,538.822,8000.0
24.0864,74413.37,0.00,407.1807,0.1057,NaN,538.822,0.0
624.0854,74413.37,0.00,407.1807,0.1057,NaN,538.822,0.0
