Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.4717067878,0.4717067878,0.4717067878,0.4717067878,0.4717067878,0,0,0,0,12.95171959,144.2522705,144.2522705,1017770
0.02,0,0.4919453966,0.4919453966,0.4919453966,0.4919453966,0.4919453966,0,0,0,0,12.95171959,144.2522705,144.2522705,2035539
0.03,0,0.492550412,0.492550412,0.492550412,0.492550412,0.492550412,0,0,0,0,12.95171959,144.2522705,144.2522705,3053309
0.04,0,0.4901124707,0.4901124707,0.4901124707,0.4901124707,0.4901124707,0,0,0,0,12.95171959,144.2522705,144.2522705,4071078
0.05,0,0.4871318754,0.4871318754,0.4871318754,0.4871318754,0.4871318754,0,0,0,0,12.95171959,144.2522705,144.2522705,5088848
0.06,0,0.4841922443,0.4841922443,0.4841922443,0.4841922443,0.4841922443,0,0,0,0,12.95171959,144.2522705,144.2522705,6106618
0.07,0,0.481444329,0.481444329,0.481444329,0.481444329,0.481444329,0,0,0,0,12.95171959,144.2522705,144.2522705,7124388
0.08,0,0.4789165906,0.4789165906,0.4789165906,0.4789165906,0.4789165906,0,0,0,0,12.95171959,144.2522705,144.2522705,8142157
0.09,0,0.4765999468,0.4765999468,0.4765999468,0.4765999468,0.4765999468,0,0,0,0,12.95171959,144.2522705,144.2522705,9159927
0.1,0,0.4744745815,0.4744745815,0.4744745815,0.4744745815,0.4744745815,0,0,0,0,12.95171959,144.2522705,144.2522705,10177700
0.11,0,0.4725190574,0.4725190574,0.4725190574,0.4725190574,0.4725190574,0,0,0,0,12.95171959,144.2522705,144.2522705,11195470
0.12,0,0.4707133432,0.4707133432,0.4707133432,0.4707133432,0.4707133432,0,0,0,0,12.95171959,144.2522705,144.2522705,12213240
0.13,0,0.4690397307,0.4690397307,0.4690397307,0.4690397307,0.4690397307,0,0,0,0,12.95171959,144.2522705,144.2522705,13231000
0.14,0,0.4674828188,0.4674828188,0.4674828188,0.4674828188,0.4674828188,0,0,0,0,12.95171959,144.2522705,144.2522705,14248780
0.15,0,0.4660294764,0.4660294764,0.4660294764,0.4660294764,0.4660294764,0,0,0,0,12.95171959,144.2522705,144.2522705,15266540
0.16,0,0.4646683437,0.4646683437,0.4646683437,0.4646683437,0.4646683437,0,0,0,0,12.95171959,144.2522705,144.2522705,16284310
0.17,0,0.463389715,0.463389715,0.463389715,0.463389715,0.463389715,0,0,0,0,12.95171959,144.2522705,144.2522705,17302080
0.18,0,0.462185214,0.462185214,0.462185214,0.462185214,0.462185214,0,0,0,0,12.95171959,144.2522705,144.2522705,18319850
0.19,0,0.4610475938,0.4610475938,0.4610475938,0.4610475938,0.4610475938,0,0,0,0,12.95171959,144.2522705,144.2522705,19337620
0.2,0,0.4599705574,0.4599705574,0.4599705574,0.4599705574,0.4599705574,0,0,0,0,12.95171959,144.2522705,144.2522705,20355390
0.21,0,0.4589486081,0.4589486081,0.4589486081,0.4589486081,0.4589486081,0,0,0,0,12.95171959,144.2522705,144.2522705,21373160
0.22,0,0.457976927,0.457976927,0.457976927,0.457976927,0.457976927,0,0,0,0,12.95171959,144.2522705,144.2522705,22390930
0.23,0,0.4570512704,0.4570512704,0.4570512704,0.4570512704,0.4570512704,0,0,0,0,12.95171959,144.2522705,144.2522705,23408700
0.24,0,0.4561678857,0.4561678857,0.4561678857,0.4561678857,0.4561678857,0,0,0,0,12.95171959,144.2522705,144.2522705,24426470
0.25,0,0.4553234414,0.4553234414,0.4553234414,0.4553234414,0.4553234414,0,0,0,0,12.95171959,144.2522705,144.2522705,25444240
0.26,0,0.4548309005,0.4548309005,0.4548309005,0.4548309005,0.4548309005,0,0,0,0,12.95171959,144.2522705,144.2522705,26462010
0.27,0,0.454371658,0.454371658,0.454371658,0.454371658,0.454371658,0,0,0,0,12.95171959,144.2522705,144.2522705,27479780
