Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.4130603609,0.4130603609,0.4130603609,0.4130603609,0.4130603609,0,0,0,0,12.40736829,143.1915462,143.1915462,1017770
0.02,0,0.3930251193,0.3930251193,0.3930251193,0.3930251193,0.3930251193,0,0,0,0,12.40736829,143.1915462,143.1915462,2035539
0.03,0,0.3757881243,0.3757881243,0.3757881243,0.3757881243,0.3757881243,0,0,0,0,12.40736829,143.1915462,143.1915462,3053309
0.04,0,0.3627142435,0.3627142435,0.3627142435,0.3627142435,0.3627142435,0,0,0,0,12.40736829,143.1915462,143.1915462,4071078
0.05,0,0.3524753182,0.3524753182,0.3524753182,0.3524753182,0.3524753182,0,0,0,0,12.40736829,143.1915462,143.1915462,5088848
0.06,0,0.3418554702,0.3418554702,0.3418554702,0.3418554702,0.3418554702,0,0,0,0,12.40736829,143.1915462,143.1915462,6106618
0.07,0,0.3488552264,0.3488552264,0.3488552264,0.3488552264,0.3488552264,0,0,0,0,12.40736829,143.1915462,143.1915462,7124388
0.08,0,0.3532582709,0.3532582709,0.3532582709,0.3532582709,0.3532582709,0,0,0,0,12.40736829,143.1915462,143.1915462,8142157
0.09,0,0.3560463999,0.3560463999,0.3560463999,0.3560463999,0.3560463999,0,0,0,0,12.40736829,143.1915462,143.1915462,9159927
0.1,0,0.3577826645,0.3577826645,0.3577826645,0.3577826645,0.3577826645,0,0,0,0,12.40736829,143.1915462,143.1915462,10177700
0.11,0,0.3588094483,0.3588094483,0.3588094483,0.3588094483,0.3588094483,0,0,0,0,12.40736829,143.1915462,143.1915462,11195470
0.12,0,0.359344637,0.359344637,0.359344637,0.359344637,0.359344637,0,0,0,0,12.40736829,143.1915462,143.1915462,12213240
0.13,0,0.3595321607,0.3595321607,0.3595321607,0.3595321607,0.3595321607,0,0,0,0,12.40736829,143.1915462,143.1915462,13231000
0.14,0,0.3594699137,0.3594699137,0.3594699137,0.3594699137,0.3594699137,0,0,0,0,12.40736829,143.1915462,143.1915462,14248780
0.15,0,0.3592262086,0.3592262086,0.3592262086,0.3592262086,0.3592262086,0,0,0,0,12.40736829,143.1915462,143.1915462,15266540
0.16,0,0.3588497091,0.3588497091,0.3588497091,0.3588497091,0.3588497091,0,0,0,0,12.40736829,143.1915462,143.1915462,16284310
0.17,0,0.3583757442,0.3583757442,0.3583757442,0.3583757442,0.3583757442,0,0,0,0,12.40736829,143.1915462,143.1915462,17302080
0.18,0,0.3578302535,0.3578302535,0.3578302535,0.3578302535,0.3578302535,0,0,0,0,12.40736829,143.1915462,143.1915462,18319850
0.19,0,0.3572326262,0.3572326262,0.3572326262,0.3572326262,0.3572326262,0,0,0,0,12.40736829,143.1915462,143.1915462,19337620
0.2,0,0.356597445,0.356597445,0.356597445,0.356597445,0.356597445,0,0,0,0,12.40736829,143.1915462,143.1915462,20355390
0.21,0,0.3559357892,0.3559357892,0.3559357892,0.3559357892,0.3559357892,0,0,0,0,12.40736829,143.1915462,143.1915462,21373160
0.22,0,0.3552561745,0.3552561745,0.3552561745,0.3552561745,0.3552561745,0,0,0,0,12.40736829,143.1915462,143.1915462,22390930
